@relation answerExp2
@attribute AnswerType STRING
@attribute Question STRING
@data
"NUM:count" , "how many cherub be there on a trivial pursuit board" 
"NUM:count" , "how many people live in chile" 
"LOC:country" , "what european country monarchy be restore in" 
"HUM:ind" , "what english explorer discover and name virginia" 
"LOC:country" , "what country be home to heineken beer" 
"NUM:date" , "when do charles lindbergh die" 
"NUM:count" , "how many athlete do puerto rico enter in the winter olympics" 
"LOC:other" , "what be the high continent" 
"LOC:other" , "where can i find information on become a journalist" 
"LOC:city" , "in what city do maurizio pellegrin now live" 
"NUM:temp" , "what be the temperature today" 
"NUM:temp" , "what be the temperature for cooking" 
